Model,Threshold,Test F1 score (at threshold),PR AUC score,ROC AUC score,True Positives,False Positives,True Negatives,False Negatives
LogisticRegression with SMOTE on train (RandomizedSearchCV),0.6,0.5873846920967339,0.6658175572987417,0.8620374777831946,1178,1485,9337,170
LogisticRegression (RandomizedSearchCV best estimator) threshold tuned for max F1,0.09862493620063761,0.5484147386461011,0.42128708494436723,0.8562920926544291,960,1193,9629,388
KNN with SMOTE on train (GridSearchCV),0.6,0.5303668069753458,0.5692492521669075,0.7765137452173202,882,1096,9726,466
KNN (GridSearchCV best estimator) threshold tuned for max F1,0.09862493620063761,0.5484147386461011,0.42128708494436723,0.8562920926544291,960,1193,9629,388
DecisionTree with SMOTE on train (GridSearchCV),0.6,0.6157728706624606,0.6270820079471779,0.7980582882325101,976,846,9976,372
DecisionTree (GridSearchCV best estimator) threshold tuned for max F1,0.09862493620063761,0.5484147386461011,0.42128708494436723,0.8562920926544291,960,1193,9629,388
SVC with SMOTE on train,0.6,0.6183310533515732,0.6201223076378821,0.7816271749985056,1130,1177,9645,218
SVC with SMOTE on train threshold tuned for max F1,0.09862493620063761,0.5484147386461011,0.42128708494436723,0.8562920926544291,960,1193,9629,388
SVC with SMOTE on train (GridSearchCV),0.6,0.3583868010999084,0.3883420215615049,0.5955210207583519,391,443,10379,957
SVC (RandomizedSearchCV best estimator) threshold tuned for max F1,0.09862493620063761,0.5484147386461011,0.42128708494436723,0.8562920926544291,960,1193,9629,388
